queue_order,diversity,job_duration_s,slow_reconfig_s,fast_reconfig_s,window_size,static_makespan_s,per_job_makespan_s,stratocs_makespan_s,oracle_makespan_s,static_speedup,per_job_speedup,oracle_loss_pct,reconfig_fraction,slow_reconfig_reduction_pct,retained_improvement_pct,verdict
random_avg,low,3600,1,0.01,10,72000.0,69924.1585,70020.409,69903.95850000001,1.0282716286333031,0.9986253936334477,0.1665864172770526,3.141941087490649e-05,90.0,94.54922528967114,drop
clustered,low,3600,1,0.01,20,72000.0,69924.1585,70019.409,69903.95850000001,1.028286314156122,0.9986396557560205,0.16515588312497886,1.7138105235935367e-05,95.0,94.54922528967127,drop
random_avg,low,3600,1,0.01,20,72000.0,69924.1585,70019.40899999999,69903.95850000001,1.0282863141561223,0.9986396557560206,0.16515588312496554,1.713810523593537e-05,95.0,94.54922528967168,drop
clustered,low,3600,5,0,2,72000.0,70003.95850000001,69997.901,69903.95850000001,1.0286022719452688,1.0000865383091988,0.1343879545819826,0.0007143071332953256,50.0,97.90354818833548,drop
random_avg,low,3600,5,0,2,72000.0,70003.95850000001,70012.60519999999,69903.95850000001,1.0283862733137872,0.999876527764278,0.15542281486102816,0.0007141571342456855,50.0,97.20202581866872,drop
clustered,low,3600,5,0,5,72000.0,70003.95850000001,69996.251,69903.95850000001,1.0286265188688462,1.000110113040197,0.13202757323105274,0.00028572958857467953,80.0,96.5509986324223,conditional
random_avg,low,3600,5,0,5,72000.0,70003.95850000001,70029.7859,69903.95850000001,1.0281339787661348,0.999631227527561,0.18000039296773185,0.00028559277187948187,80.0,94.95108279106125,drop
clustered,low,3600,5,0,10,72000.0,70003.95850000001,70028.209,69903.95850000001,1.0281570959497193,0.9996537038381205,0.17774458366330848,0.00014279959665968324,90.0,94.54922528967127,drop
random_avg,low,3600,5,0,10,72000.0,70003.95850000001,70028.209,69903.95850000001,1.0281570959497193,0.9996537038381205,0.17774458366331292,0.00014279959665968324,90.0,94.54922528967114,drop
clustered,low,3600,5,0,20,72000.0,70003.95850000001,70023.209,69903.95850000001,1.0282305114008699,0.9997250840075039,0.17059191290289544,7.140489662506041e-05,95.0,94.54922528967127,drop
random_avg,low,3600,5,0,20,72000.0,70003.95850000001,70023.20899999999,69903.95850000001,1.02823051140087,0.999725084007504,0.17059191290288211,7.140489662506042e-05,95.0,94.54922528967168,drop
clustered,low,3600,5,0.001,2,72000.0,70003.97850000001,69997.921,69903.95850000001,1.0286019780501767,1.0000865382844728,0.13441656526502754,0.0007145926519731922,50.0,97.90354818833548,drop
random_avg,low,3600,5,0.001,2,72000.0,70003.97850000001,70012.6252,69903.95850000001,1.0283859795421049,0.999876527799541,0.15545142554408642,0.0007144425930096678,50.0,97.20202581866872,drop
clustered,low,3600,5,0.001,5,72000.0,70003.97850000001,69996.27100000001,69903.95850000001,1.028626224959898,1.0001101130087344,0.13205618391409768,0.00028601523644023835,80.0,96.5509986324223,conditional
random_avg,low,3600,5,0.001,5,72000.0,70003.97850000001,70029.8059,69903.95850000001,1.0281336851385758,0.99963122763287,0.1800290036507768,0.00028587828300658734,80.0,94.95108279106125,drop
clustered,low,3600,5,0.001,10,72000.0,70003.97850000001,70028.229,69903.95850000001,1.028156802308966,0.9996537039370224,0.1777731943463534,0.00014308515498799774,90.0,94.54922528967127,drop
random_avg,low,3600,5,0.001,10,72000.0,70003.97850000001,70028.229,69903.95850000001,1.028156802308966,0.9996537039370224,0.17777319434635785,0.00014308515498799774,90.0,94.54922528967114,drop
clustered,low,3600,5,0.001,20,72000.0,70003.97850000001,70023.229,69903.95850000001,1.0282302177181804,0.9997250840860253,0.17062052358594038,7.16904957353509e-05,95.0,94.54922528967127,drop
random_avg,low,3600,5,0.001,20,72000.0,70003.97850000001,70023.22899999999,69903.95850000001,1.0282302177181806,0.9997250840860255,0.17062052358592705,7.169049573535091e-05,95.0,94.54922528967168,drop
clustered,low,3600,5,0.01,2,72000.0,70004.1585,69998.101,69903.95850000001,1.0285993330019054,1.00008653806194,0.13467406141238758,0.000717162312731884,50.0,97.90354818833548,drop
random_avg,low,3600,5,0.01,2,72000.0,70004.1585,70012.80519999999,69903.95850000001,1.0283833356045162,0.9998765281169062,0.15570892169144646,0.0007170117145464821,50.0,97.20202581866872,drop
clustered,low,3600,5,0.01,5,72000.0,70004.1585,69996.451,69903.95850000001,1.0286235797869236,1.0001101127255725,0.13231368006147992,0.00028858605988466474,80.0,96.5509986324223,conditional
random_avg,low,3600,5,0.01,5,72000.0,70004.1585,70029.9859,69903.95850000001,1.0281310424980936,0.9996312285806499,0.18028649979813682,0.00028844787581196516,80.0,94.95108279106125,drop
